answer_id,timestamp,prefecture,serials_nagoya1,serials_nagoya2,serials_kobe1,serials_kobe2,serials_saitama1,serials_saitama2,tickets_nagoya1,tickets_nagoya2,tickets_kobe1,tickets_kobe2,tickets_saitama1,tickets_saitama2
445,2017/05/08 5:10:53 午後 GMT+9,,7,7,8,8,4,4,0,0,0,0,2,0
446,2017/05/08 11:06:25 午後 GMT+9,東京都,0,0,0,0,0,2,0,0,0,0,0,2
447,2017/05/10 4:26:02 午前 GMT+9,,1,1,1,1,3,3,0,0,0,0,2,0
448,2017/05/10 10:08:57 午後 GMT+9,,1,1,1,1,3,3,0,0,0,0,2,0
449,2017/05/10 10:32:06 午後 GMT+9,神奈川県,3,3,5,5,3,3,0,0,0,2,0,2
450,2017/05/11 12:14:22 午前 GMT+9,長崎県,2,0,1,0,0,0,2,0,1,0,0,0
451,2017/05/11 9:27:20 午前 GMT+9,千葉県,0,8,0,8,0,10,0,0,0,0,0,2
452,2017/05/13 6:34:59 午前 GMT+9,,3,3,11,11,7,7,0,0,0,2,2,0
453,2017/05/13 12:48:59 午後 GMT+9,愛知県,1,1,0,0,1,1,0,0,0,0,0,0
454,2017/05/13 10:34:36 午後 GMT+9,宮城県,0,0,0,0,0,2,0,0,0,0,0,2
455,2017/05/14 11:23:01 午後 GMT+9,愛知県,1,1,0,0,0,0,0,0,0,0,0,0
456,2017/05/15 2:52:04 午前 GMT+9,愛知県,1,1,0,0,0,0,2,2,0,0,0,0
457,2017/05/15 11:41:27 午前 GMT+9,,1,1,1,1,1,1,1,0,1,0,1,1
458,2017/05/16 12:15:47 午後 GMT+9,神奈川県,1,1,1,1,1,1,0,0,0,0,0,2
459,2017/05/17 6:09:03 午後 GMT+9,福島県,0,0,0,0,2,2,0,0,0,0,1,0
460,2017/05/17 8:01:31 午後 GMT+9,神奈川県,0,0,0,0,0,1,0,0,0,0,0,1
461,2017/05/18 10:43:04 午前 GMT+9,神奈川県,1,1,0,0,1,3,0,0,0,0,2,2
462,2017/05/19 7:01:09 午前 GMT+9,石川県,0,0,1,1,1,1,0,0,0,2,0,2
463,2017/05/19 1:43:07 午後 GMT+9,宮城県,0,0,0,0,1,0,0,0,0,0,1,0
464,2017/05/25 7:20:58 午後 GMT+9,東京都,0,0,0,0,1,1,0,0,0,0,2,0
465,2017/05/25 7:25:21 午後 GMT+9,宮城県,1,1,2,2,0,0,0,0,0,0,0,0
466,2017/05/25 7:31:32 午後 GMT+9,宮城県,2,2,1,1,0,1,0,0,0,0,0,2
467,2017/05/25 7:33:26 午後 GMT+9,兵庫県,1,1,3,3,1,1,0,0,0,0,0,1
468,2017/05/25 7:40:43 午後 GMT+9,愛知県,5,5,1,1,2,2,2,0,0,0,0,2
469,2017/05/25 7:41:14 午後 GMT+9,愛知県,4,4,0,0,1,1,0,0,0,0,0,0
470,2017/05/25 7:41:37 午後 GMT+9,愛知県,1,1,0,0,1,1,0,0,0,0,0,0
471,2017/05/25 7:44:08 午後 GMT+9,千葉県,2,2,2,2,2,2,0,0,0,0,0,2
472,2017/05/25 7:46:51 午後 GMT+9,千葉県,4,4,3,3,2,2,0,0,0,2,2,0
473,2017/05/25 7:52:03 午後 GMT+9,東京都,0,0,0,0,0,5,0,0,0,0,0,2
474,2017/05/25 7:58:15 午後 GMT+9,,1,1,1,1,1,1,2,0,0,0,2,0
475,2017/05/25 8:06:44 午後 GMT+9,愛知県,1,1,1,1,4,4,0,0,0,0,0,2
476,2017/05/25 8:07:10 午後 GMT+9,大阪府,4,4,4,4,3,3,0,0,0,0,2,0
477,2017/05/25 8:11:10 午後 GMT+9,,1,1,1,1,1,1,1,1,1,1,1,1
478,2017/05/25 8:12:02 午後 GMT+9,埼玉県,1,1,1,1,3,3,0,0,0,0,0,2
479,2017/05/25 8:21:55 午後 GMT+9,,2,2,2,2,2,2,0,0,0,0,2,0
480,2017/05/25 8:34:49 午後 GMT+9,石川県,3,3,0,0,3,3,0,0,0,0,0,2
481,2017/05/25 8:38:43 午後 GMT+9,岐阜県,1,1,1,1,0,0,0,0,0,0,0,0
482,2017/05/25 9:03:34 午後 GMT+9,神奈川県,0,0,0,0,2,2,0,0,0,0,2,0
483,2017/05/25 10:46:26 午後 GMT+9,兵庫県,1,1,6,6,1,1,0,0,0,0,1,0
484,2017/05/25 11:02:56 午後 GMT+9,,2,2,2,2,1,1,0,0,0,1,0,1
485,2017/05/25 11:54:39 午後 GMT+9,兵庫県,3,3,3,3,3,0,0,0,0,0,2,0
